地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,11889,269,259,2092,17988
湖北,7153,166,249,1347
浙江,599,20,0,62
广东,535,12,0,123
河南,422,3,2,70
湖南,389,8,0,57
安徽,297,5,0,60
江西,286,9,0,46
重庆,247,3,1,36
四川,207,3,1,30
山东,206,3,0,21
江苏,202,5,0,34
上海,169,10,1,34
北京,168,9,1,29
福建,144,0,0,24
陕西,101,0,0,14
广西,100,2,0,13
河北,96,0,1,14
云南,91,2,0,11
黑龙江,80,2,2,21
辽宁,63,1,0,3
海南,62,1,1,10
山西,47,1,0,8
天津,37,0,0,5
甘肃,35,0,0,6
贵州,29,2,0,
宁夏,26,0,0,5
内蒙古,23,1,0,3
新疆,18,0,0,1
吉林,17,1,0,3
香港,13,0,0,1
台湾,10,0,0,
青海,9,0,0,1
澳门,7,0,0,
西藏,1,0,0,
泰国,19,2,0,
日本,17,1,0,
新加坡,16,0,0,
韩国,12,0,0,
澳大利亚,12,2,0,
马来西亚,8,0,0,
美国,7,0,0,
德国,7,0,0,
越南,6,0,0,
法国,6,0,0,
加拿大,4,0,0,
阿联酋,4,0,0,
意大利,2,0,0,
英国,2,0,0,
俄罗斯,2,0,0,
尼泊尔,1,0,0,
斯里兰卡,1,0,0,
芬兰,1,0,0,
菲律宾,1,0,0,
印度,1,0,0,
柬埔寨,1,0,0,
